variavel,pct_missing
vd4004a,96.46
capital,76.22
rm_ride,68.79
v3003a,61.23
vd4003,58.6
vd4019,51.03
vd4020,51.03
vd4009,49.01
v3014,41.5
vd4002,41.4
v3009a,39.48
ano,0
trimestre,0
uf,0
upa,0
estrato,0
v1008,0
v1014,0
v1022,0
v1027,0
v1028,0
v1029,0
v1033,0
posest,0
posest_sxi,0
v2003,0
v2007,0
v2009,0
v2010,0
v3001,0
v3002,0
vd3004,0
vd3005,0
vd4001,0
v1028001,0
v1028002,0
v1028003,0
v1028004,0
v1028005,0
v1028006,0
v1028007,0
v1028008,0
v1028009,0
v1028010,0
v1028011,0
v1028012,0
v1028013,0
v1028014,0
v1028015,0
v1028016,0
v1028017,0
v1028018,0
v1028019,0
v1028020,0
v1028021,0
v1028022,0
v1028023,0
v1028024,0
v1028025,0
v1028026,0
v1028027,0
v1028028,0
v1028029,0
v1028030,0
v1028031,0
v1028032,0
v1028033,0
v1028034,0
v1028035,0
v1028036,0
v1028037,0
v1028038,0
v1028039,0
v1028040,0
v1028041,0
v1028042,0
v1028043,0
v1028044,0
v1028045,0
v1028046,0
v1028047,0
v1028048,0
v1028049,0
v1028050,0
v1028051,0
v1028052,0
v1028053,0
v1028054,0
v1028055,0
v1028056,0
v1028057,0
v1028058,0
v1028059,0
v1028060,0
v1028061,0
v1028062,0
v1028063,0
v1028064,0
v1028065,0
v1028066,0
v1028067,0
v1028068,0
v1028069,0
v1028070,0
v1028071,0
v1028072,0
v1028073,0
v1028074,0
v1028075,0
v1028076,0
v1028077,0
v1028078,0
v1028079,0
v1028080,0
v1028081,0
v1028082,0
v1028083,0
v1028084,0
v1028085,0
v1028086,0
v1028087,0
v1028088,0
v1028089,0
v1028090,0
v1028091,0
v1028092,0
v1028093,0
v1028094,0
v1028095,0
v1028096,0
v1028097,0
v1028098,0
v1028099,0
v1028100,0
v1028101,0
v1028102,0
v1028103,0
v1028104,0
v1028105,0
v1028106,0
v1028107,0
v1028108,0
v1028109,0
v1028110,0
v1028111,0
v1028112,0
v1028113,0
v1028114,0
v1028115,0
v1028116,0
v1028117,0
v1028118,0
v1028119,0
v1028120,0
v1028121,0
v1028122,0
v1028123,0
v1028124,0
v1028125,0
v1028126,0
v1028127,0
v1028128,0
v1028129,0
v1028130,0
v1028131,0
v1028132,0
v1028133,0
v1028134,0
v1028135,0
v1028136,0
v1028137,0
v1028138,0
v1028139,0
v1028140,0
v1028141,0
v1028142,0
v1028143,0
v1028144,0
v1028145,0
v1028146,0
v1028147,0
v1028148,0
v1028149,0
v1028150,0
v1028151,0
v1028152,0
v1028153,0
v1028154,0
v1028155,0
v1028156,0
v1028157,0
v1028158,0
v1028159,0
v1028160,0
v1028161,0
v1028162,0
v1028163,0
v1028164,0
v1028165,0
v1028166,0
v1028167,0
v1028168,0
v1028169,0
v1028170,0
v1028171,0
v1028172,0
v1028173,0
v1028174,0
v1028175,0
v1028176,0
v1028177,0
v1028178,0
v1028179,0
v1028180,0
v1028181,0
v1028182,0
v1028183,0
v1028184,0
v1028185,0
v1028186,0
v1028187,0
v1028188,0
v1028189,0
v1028190,0
v1028191,0
v1028192,0
v1028193,0
v1028194,0
v1028195,0
v1028196,0
v1028197,0
v1028198,0
v1028199,0
v1028200,0
id_domicilio,0
idade,0
faixa_idade,0
sexo,0
cor_raca,0
situacao_dom,0
regiao,0
estudando,0
nivel_instrucao,0
concluiu_em,0
ocupado,0
formal,0
neet,0
