"skim_type","skim_variable","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","factor.ordered","factor.n_unique","factor.top_counts","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"character","ano",0,1,4,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","trimestre",0,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","uf",0,1,2,2,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","capital",75109,0.237766140981144,2,2,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","rm_ride",67786,0.312082648318415,2,2,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","upa",0,1,9,9,0,14828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","estrato",0,1,7,7,0,573,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v1008",0,1,2,2,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v1014",0,1,2,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v1022",0,1,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","posest",0,1,3,3,0,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","posest_sxi",0,1,3,3,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v2003",0,1,2,2,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v2007",0,1,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v2010",0,1,1,1,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v3001",0,1,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v3002",0,1,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v3003a",60334,0.387708295276949,2,2,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v3009a",38902,0.605208143051412,2,2,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","v3014",40895,0.584982443321358,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd3004",0,1,1,1,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd3005",0,1,2,2,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd4001",0,1,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd4002",40793,0.58601757697538,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd4003",57745,0.41398242302462,1,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd4004a",95049,0.0354076599890397,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"character","vd4009",48295,0.509884511558993,2,2,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
